Electricity-supply-from-grid,Electricity-supply-photovoltaics,Electricity-supply-batteries-discharge,Electricity-demand-base,Electricity-demand-batteries-charge,Electricity-demand-heat-pumps,Electricity-demand-electro-mobility
5.1589417,0,0,2.0198603,0,0.89057636,2.248505
4.8995266,0,0,1.8639591,0,0.77777994,2.2577877
4.9174724,0,0,1.7389185,0,0.8407178,2.3378358
4.809967,0,0,1.7170521,0,0.91737735,2.1755376
4.6535115,0,0,1.7284101,0,0.8300696,2.0950317
4.8308525,0,0,2.0992513,0,1.0888183,1.6427829
4.6874647,0,0,2.5905156,0,0.9380317,1.1589172
4.467384,0,0,3.049443,0,1.0636376,0.35430348
4.5223713,0.8992134,0,3.3022647,0,0.94029474,1.1790253
4.4045253,1.6041834,0,3.5253649,0,1.0193266,1.4640174
4.3082547,3.9221582,0,3.8474112,0,1.1512388,3.2317631
3.6052043,5.4756484,0,4.6967645,0,0.74617153,3.6379166
2.9505064,6.104732,0,4.5148416,0,1.0854223,3.4549747
2.2933395,6.076191,0,3.9591699,0,0.8758881,3.5344725
4.4465895,3.609017,0,3.611543,0,1.1749048,3.2691588
4.508313,1.4186699,0,3.3588095,0,0.6776844,1.8904891
4.364924,0.37651026,0,3.3932116,0,0.7412862,0.60693634
4.9240246,0,0,3.5268347,0,0.7788355,0.6183542
5.9662004,0,0,4.02439,0,0.74551535,1.1962945
6.389057,0,0,3.7916386,0,0.78547543,1.8119433
5.9522676,0,0,3.0872164,0,0.8511709,2.0138803
4.9360003,0,0,2.527573,0,0.87811065,1.5303165
4.7367306,0,0,2.2649987,0,0.8831429,1.5885892
4.9529977,0,0,2.2313542,0,0.9170753,1.8045682
5.0986795,0,0,2.0198603,0,1.0466013,2.032218
5.1016946,0,0,1.8639591,0,1.0521927,2.185543
5.1210065,0,0,1.7389185,0,1.0650332,2.3170545
5.0188203,0,0,1.7170521,0,1.104075,2.1976929
4.9436355,0,0,1.7284101,0,1.1024362,2.1127892
4.864066,0,0.42188567,2.0992513,0,1.1234909,2.0632095
4.652172,0,0,2.5905156,0,1.1412735,0.92038286
5.1059456,0,0,3.049443,0,1.1506158,0.9058869
5.4518714,0.04491356,0.15466742,3.2424638,0,1.0983547,1.3106339
5.5670023,0.6912302,0,3.4614582,0,1.1443799,1.6523945
4.262714,2.2273138,0,3.728772,0,1.08619,1.6750659
4.223092,3.511657,0,4.559285,0,1.019771,2.155693
3.8444884,4.2220025,0,4.3830504,0,0.99691314,2.6865273
1.122218,7.3108096,0,4.0455933,0,1.0296634,3.3577707
0,11.23604,0,4.1454344,2.058856,1.2080959,3.823654
0,8.709579,0.06262539,3.869173,0,1.2134311,3.6896002
1.4109185,2.8073754,0.748274,3.5633721,0,0.88651085,0.5166849
5.198455,0,0,3.5268347,0,0.9522874,0.7193328
7.120181,0,0,4.02439,0,0.853001,2.2427897
6.7867465,0,0,3.7916386,0,1.0169787,1.9781293
6.2043324,0,0.003821619,3.0872164,0,0.9298395,2.1910982
4.9257216,0,0.096249424,2.527573,0,0.8132814,1.6811166
4.962835,0,0,2.2649987,0,1.1132841,1.5845519
6.4530764,0,0,2.2313542,0,0.89881766,3.3229046
5.1556373,0,0,2.0198603,0,0.74745315,2.388324
5.158748,0,0,1.8639591,0,0.76273924,2.5320497
4.862049,0,0,1.7389185,0,0.7842209,2.3389096
4.987789,0,0,1.7170521,0,1.094433,2.1763043
4.9195933,0,0,1.7284101,0,1.0955366,2.0956464
4.900623,0,0,2.0992513,0,0.7528254,2.0485463
4.711717,0,0,2.5905156,0,0.80280364,1.3183979
4.4984946,0,0,3.049443,0,1.1790603,0.2699914
4.751012,0.5356462,0,3.276815,0,0.8262623,1.1835805
4.314262,1.8428627,0,3.5420725,0,1.1459409,1.4691113
4.379596,3.0128071,0,3.7837565,0,0.71418464,2.894462
3.5459702,4.8924575,0,4.655941,0,0.7373443,3.0451422
1.6134628,7.052972,0,4.5812182,0,0.7256283,3.3595881
0.26939884,6.427143,0,3.9837365,0,0.758732,1.9540731
0,8.295108,0,3.9395692,0,0.9956197,3.3599188
0.3634894,7.728463,0,3.8004951,0,0.7449819,3.5464756
2.76863,1.8143294,0,3.4938588,0,0.65976506,0.42933542
5.4323354,0.014366159,0,3.5278404,0,0.6289611,1.2899001
6.647119,0,0,4.02439,0,0.6503145,1.9724143
6.389758,0,0,3.7916386,0,0.780424,1.8176957
6.378026,0,0,3.0872164,0,0.789132,2.5016775
4.9143057,0,0,2.527573,0,0.8511966,1.5355358
4.1619406,0,0,2.2649987,0,0.7313348,1.165607
3.459231,0,0,2.2313542,0,0.74034524,0.48753136
3.2478747,0,0,2.0153708,0,0.96251255,0.2699914
4.1719937,0,0,1.860217,0,0.981828,1.329949
5.101926,0,0,1.7333751,0,1.00107,2.3674808
4.9205785,0,0,1.7086108,0,1.0152582,2.1967094
4.6819534,0,0,1.7197495,0,1.0628914,1.8993124
5.367119,0,0,2.0878751,0,1.2167085,2.0625353
4.8533115,0,0,2.5509863,0,1.2214113,1.0809139
4.3689203,0.10935594,0,2.9973772,0,1.2109078,0.2699914
4.652057,2.0131526,0,3.322447,0,1.1798396,2.1629233
5.85755,2.8006482,0,3.5554922,0,1.1903496,3.9123564
