Counter,Hour of day,Day of year,Photovoltaics,Import-from-high-voltage-grid,Storage-output,Storage-input,Base-demand,Heat-pumps,Electro-mobility,Export-to-high-voltage-grid
1,1,1,0,3.5369935,0,0,2.0198603,0.75325227,0.763881,0
2,2,1,0,2.8063323,0,0,1.8639591,0.7720003,0.17037293,0
3,3,1,0,2.5557623,0,0,1.7389185,0.7869956,0.029848024,0
4,4,1,0,2.5570366,0,0,1.7170521,0.81013656,0.029848024,0
5,5,1,0,2.7194648,0,0,1.7284101,0.8242901,0.16676463,0
6,6,1,0,3.631108,0,0,2.0992513,1.0888183,0.4430384,0
7,7,1,0,4.6042433,0,0,2.5905156,0.9380317,1.0756958,0
8,8,1,0,6.5386863,0,0,3.049443,1.0641193,2.4251242,0
9,9,1,0.609558,7.195371,0,0,3.2819889,1.2168872,3.3060532,0
10,10,1,1.0874425,6.3904257,0,0,3.489193,1.2504442,2.738231,0
11,11,1,2.658749,4.2907124,0,0,3.7589724,1.0201274,2.1703618,0
12,12,1,3.7118275,3.736497,0,0,4.573297,0.8086121,2.0664155,0
13,13,1,4.1382704,3.7026973,0,0,4.377189,0.65486056,2.808918,0
14,14,1,4.118923,3.6768305,0,0,3.8221612,0.8758881,3.0977042,0
15,15,1,2.4464772,4.266828,0,0,3.5301652,0.88685966,2.2962804,0
16,16,1,0.9616867,6.386408,0,0,3.3268206,0.6719048,3.3493693,0
17,17,1,0.25522843,7.0128527,0,0,3.3847218,0.7412862,3.142073,0
18,18,1,0,7.1418624,0,0,3.5268347,0.84976614,2.765262,0
19,19,1,0,7.7523675,0,0,4.02439,0.79357296,2.9344041,0
20,20,1,0,6.359998,0,0,3.7916386,0.997645,1.5707145,0
21,21,1,0,5.7924056,0,0,3.0872164,0.9326097,1.7725793,0
22,22,1,0,4.7875195,0,0,2.527573,0.97075826,1.2891881,0
23,23,1,0,3.8121672,0,0,2.2649987,0.8773634,0.6698053,0
24,24,1,0,3.3861847,0,0,2.2313542,0.9112958,0.24353467,0
25,25,2,0,4.7228994,0,0,2.0198603,1.0768086,1.6262307,0
26,26,2,0,2.9459999,0,0,1.8639591,1.0521927,0.029848024,0
27,27,2,0,2.8337998,0,0,1.7389185,1.0650332,0.029848024,0
28,28,2,0,2.821922,0,0,1.7170521,1.075022,0.029848024,0
29,29,2,0,3.7654002,0,0,1.7284101,1.0744386,0.96255136,0
30,30,2,0,5.045704,0,0,2.0992513,1.1234909,1.8229614,0
31,31,2,0,4.7761374,0,0,2.5905156,1.1412735,1.0443484,0
32,32,2,0,5.8430457,0,0,3.049443,1.1506158,1.6429869,0
33,33,2,0.030445963,5.5507774,0,0,3.241451,1.1004416,1.2393303,0
34,34,2,0.4685705,6.693944,0,0,3.445872,1.1443799,2.5722625,0
35,35,2,1.5098495,6.6352553,0,0,3.6785495,1.08619,3.3803656,0
36,36,2,2.380479,5.215638,0,0,4.4801025,1.019771,2.0962439,0
37,37,2,2.8620074,5.1369414,0,0,4.2878504,1.0526178,2.6584804,0
38,38,2,4.9558454,2.713956,0,0,3.880746,1.0296634,2.759392,0
39,39,2,7.6166773,1.0662757,0,0,3.892079,1.2080959,3.5827777,0
40,40,2,5.904042,2.2577405,0,0,3.6727855,1.0402248,3.448772,0
41,41,2,1.903061,5.759438,0,0,3.50007,0.88651085,3.2759182,0
42,42,2,0,6.4356966,0,0,3.5268347,0.9522874,1.9565744,0
43,43,2,0,6.098137,0,0,4.02439,0.853001,1.2207457,0
44,44,2,0,6.5454583,0,0,3.7916386,1.0169787,1.7368411,0
45,45,2,0,5.96679,0,0,3.0872164,0.9298395,1.9497341,0
46,46,2,0,6.303799,0,0,2.527573,0.8132814,2.9629447,0
47,47,2,0,4.589506,0,0,2.2649987,1.1466719,1.1778355,0
