Counter,Hour of day,Day of year,Photovoltaics,Import-from-high-voltage-grid,Base-demand,Kitchen,Washing/drying,Electro-mobility,Export-to-high-voltage-grid
1,0.25,1,0,0.20499999825,0.20499999825,0,0,0,0
2,0.5,1,0,0.20499999825,0.20499999825,0,0,0,0
3,0.75,1,0,0.1110000015,0.1110000015,0,0,0,0
4,1,1,0,0.101999998,0.101999998,0,0,0,0
5,1.25,1,0,0.0759999975,0.0759999975,0,0,0,0
6,1.5,1,0,0.12099999925,0.12099999925,0,0,0,0
7,1.75,1,0,0.1099999995,0.1099999995,0,0,0,0
8,2,1,0,0.09200000025,0.09200000025,0,0,0,0
9,2.25,1,0,0.07999999825,0.07999999825,0,0,0,0
10,2.5,1,0,0.11900000275,0.11900000275,0,0,0,0
11,2.75,1,0,0.1360000075,0.1360000075,0,0,0,0
12,3,1,0,0.0780000015,0.0780000015,0,0,0,0
13,3.25,1,0,0.0780000015,0.0780000015,0,0,0,0
14,3.5,1,0,0.12099999925,0.12099999925,0,0,0,0
15,3.75,1,0,0.1089999975,0.1089999975,0,0,0,0
16,4,1,0,0.0780000015,0.0780000015,0,0,0,0
17,4.25,1,0,0.0780000015,0.0780000015,0,0,0,0
18,4.5,1,0,0.13400000325,0.13400000325,0,0,0,0
19,4.75,1,0,0.12200000125,0.12200000125,0,0,0,0
20,5,1,0,0.0900000035,0.0900000035,0,0,0,0
21,5.25,1,0,0.0900000035,0.0900000035,0,0,0,0
22,5.5,1,0,0.1650000065,0.1650000065,0,0,0,0
23,5.75,1,0,0.12099999925,0.12099999925,0,0,0,0
24,6,1,0,0.0890000015,0.0890000015,0,0,0,0
25,6.25,1,0,0.0890000015,0.0890000015,0,0,0,0
26,6.5,1,0,0.12999999525,0.12999999525,0,0,0,0
27,6.75,1,0,0.12099999925,0.12099999925,0,0,0,0
28,7,1,0,0.09300000225,0.09300000225,0,0,0,0
29,7.25,1,0,0.086000003,0.086000003,0,0,0,0
30,7.5,1,0,0.19200000175,0.19200000175,0,0,0,0
31,7.75,1,0,0.224000007,0.224000007,0,0,0,0
32,8,1,0.01836000025,0.212640006,0.23100000625,0,0,0,0
33,8.25,1,0.06624000375,5.18E-02,0.11800000075,0,0,0,0
34,8.5,1,0.139500001,0,0.1110000015,0,0,0,0.0284999995
