Counter,Hour of day,Day of year,Photovoltaics-wind,Run-of-river-hydro-power,Regulated-hydro-power,Thermal-power,Imports,Storage-output,Storage-input,Base-demand,Heat-pumps-electrical-heaters,Electro-mobility,Exports
1,1,1,0,1.6861691,8.08,0.26117364,0,0,0,3.7967103,2.0806808,1.1139624,3
2,2,1,0,1.6861691,5.128953,0.26117364,0,0,0,3.4118652,2.107987,0.5204544,1
3,3,1,0,1.6861691,3.793906,0.26117364,0,0,0,3.195197,2.1301327,0.37992948,0
4,4,1,0,1.6861691,2.7998066,0.26117364,1,0,0,3.170891,2.1603394,0.37992948,0
5,5,1,0,1.6861691,0.9959033,0.26117364,3,0,0,3.207887,2.1825237,0.51684606,0
6,6,1,0,1.6861691,0.808,0.26117364,4.5,0,0,3.8911424,2.535091,0.79311985,0
7,7,1,0,1.6861691,1.5086336,0.26117364,5,0,0,4.657909,2.3363004,1.4257772,0
8,8,1,0,1.6861691,3.8252673,0.26117364,5,0,0,5.459421,2.5019941,2.7752056,0
9,9,1,0.609558,1.6861691,4.68695,0.26117364,5,0,0,5.819086,2.7326407,3.6561346,0
10,10,1,1.0874425,1.6861691,3.9326336,0.26117364,5,0,0,6.0671906,2.775927,3.0883124,0
11,11,1,2.658749,1.6861691,1.5623168,0.26117364,5,0,0,6.2081842,2.4037914,2.5204432,0
12,12,1,3.7118275,1.6861691,0.808,0.26117364,5,0,0,6.876984,2.1377,2.416497,0
13,13,1,4.1382704,1.6861691,0.808,0.26117364,5,0,0,6.7437687,1.9548553,3.1589994,0
14,14,1,4.118923,1.6861691,0.808,0.26117364,5,0,0,6.141859,2.2486315,3.4477856,0
15,15,1,2.4464772,1.6861691,1.4048623,0.26117364,5,0,0,5.8551064,2.2612252,2.6463618,0
16,16,1,0.9616867,1.6861691,3.6177247,0.26117364,5,0,0,5.8214602,1.969854,3.6994507,0
17,17,1,0.25522843,1.6861691,4.2145867,0.26117364,5,0,0,5.8246465,2.0643682,3.4921544,0
18,18,1,0,1.6861691,4.7598352,0.26117364,4.5,0,0,5.843566,2.2122798,3.1153433,0
19,19,1,0,1.6861691,6.9210835,0.26117364,3,0,0,6.408116,2.1398358,3.2844856,0
20,20,1,0,1.6861691,7.466332,0.26117364,1,0,0,6.09738,2.3595095,1.9207959,0
21,21,1,0,1.6861691,7.844341,0.26117364,0,0,0,5.231277,2.4017558,2.1226609,0
22,22,1,0,1.6861691,7.272708,0.26117364,0,0,0,4.446232,2.3814602,1.6392696,0.71709955
23,23,1,0,1.6861691,7.9756064,0.26117364,0,0,0,4.171263,2.261611,1.0198867,2.434199
24,24,1,0,1.6861691,8.08,0.26117364,0,0,0,4.0509257,2.1955128,0.5936161,3.1512985
25,25,2,0,1.6861691,6.195339,0.26117364,0,0,0,3.664784,2.4655962,1.9763122,0
26,26,2,0,1.6861691,4.2605987,0.26117364,0,0,0,3.3510804,2.4409423,0.37992948,0
27,27,2,0,1.6861691,3.9418585,0.26117364,0.2,0,0,3.219554,2.4537287,0.37992948,0
28,28,2,0,1.6861691,2.7259886,0.26117364,1.4,0,0,3.1937237,2.4636889,0.37992948,0
29,29,2,0,1.6861691,1.553239,0.26117364,3.6,0,0,3.2889004,2.463059,1.3126328,0
30,30,2,0,1.6861691,1.9964893,0.26117364,4.8,0,0,3.9953365,2.539463,2.173043,0
31,31,2,0,1.6861691,1.734446,0.26117364,5,0,0,4.673716,2.5776534,1.3944299,0
32,32,2,0,1.6861691,3.0884027,0.26117364,5,0,0,5.4078407,2.5988474,1.9930685,0
33,33,2,0.030445963,1.6861691,2.8263595,0.26117364,5,0,0,5.648307,2.5304399,1.5894117,0
34,34,2,0.4685705,1.6861691,4.180316,0.26117364,5,0,0,6.0412073,2.5966892,2.922344,0
35,35,2,1.5098495,1.6861691,4.1522527,0.26117364,5,0,0,6.3090568,2.5339518,3.730447,0
36,36,2,2.380479,1.6861691,2.5081897,0.26117364,5,0,0,6.902803,2.4508939,2.4463253,0
37,37,2,2.8620074,1.6861691,2.4801264,0.26117364,5,0,0,6.7714796,2.473446,3.0085618,0
38,38,2,4.9558454,1.6861691,0.8360632,0.26117364,4,0,0,6.1324077,2.46138,3.1094735,0
39,39,2,7.6166773,1.6861691,0.808,0.26117364,3.25,0,0.175,6.05274,2.743775,3.9328592,0.6816569
40,40,2,5.904042,1.6861691,1.1814104,0.26117364,3.5,0,0,5.8918834,2.4427557,3.7988534,0.36331373
41,41,2,1.903061,1.6861691,3.170821,0.26117364,4.75,0,0,5.849431,2.2598047,3.6259997,0
42,42,2,0,1.6861691,3.5442314,0.26117364,5,0,0,5.7934737,2.3554554,2.306656,0
43,43,2,0,1.6861691,4.062516,0.26117364,4.25,0,0,6.295516,2.3575263,1.5708272,0
44,44,2,0,1.6861691,6.196801,0.26117364,2.5,0,0,6.113513,2.4077191,2.0869226,0
45,45,2,0,1.6861691,7.272,0.26117364,0.75,0,0,5.243713,2.3898244,2.2998157,0
46,46,2,0,1.6861691,8.08,0.26117364,0,0,0,4.5027423,2.1755843,3.3130262,0
47,47,2,0,1.6861691,7.272,0.26117364,0,0,0,4.122011,2.5334258,1.5279169,1
48,48,2,0,1.6861691,8.08,0.26117364,0,0.14175,0,4.0509257,2.3949404,0.687237,3
49,49,3,0,1.6861691,4.0622473,0.26117364,0,0,0,3.5154674,2.0782037,0.37992948,0
50,50,3,0,1.6861691,3.885496,0.26117364,0,0,0,3.3248234,2.0920963,0.37992948,0
51,51,3,0,1.6861691,3.5659847,0.26117364,0.2,0,0,3.1932425,2.104166,0.37992948,0
52,52,3,0,1.6861691,3.4053226,0.26117364,1.4,0,0,3.2412772,2.1225944,1.3528044,0
53,53,3,0,1.6861691,1.6286603,0.26117364,3.6,0,0,3.29418,2.1326838,1.71315,0
54,54,3,0,1.6861691,1.4679981,0.26117364,4.8,0,0,3.9583423,2.062624,2.1583848,0
55,55,3,0,1.6861691,0.808,0.26117364,5,0,0,4.608865,2.3486347,0.7618538,0
56,56,3,0,1.6861691,1.7640018,0.26117364,5,0,0,5.3151326,2.5404706,0.81975216,0
57,57,3,0.36310336,1.6861691,2.6015618,0.26117364,5,0,0,5.655857,2.2921033,1.9280579,0
58,58,3,1.2492381,1.6861691,1.8231217,0.26117364,5,0,0,5.9308505,2.4747767,1.5780864,0
59,59,3,2.042319,1.6861691,0.808,0.26117364,5,0,0,6.1122317,2.0748477,1.5745924,0
60,60,3,3.3164947,1.6861691,0.808,0.26117364,5,0,0,6.849311,2.053286,2.1332514,0
